file,file_size_mb,num_entities,processed_revisions,avg_revisions_per_entity,file_reading_sec,total_process_time_sec,peak_memory_mb
wikidatawiki-20250601-pages-meta-history25.xml-p69719967p69852256.bz2,704.9341382980347,131963,1262452,9.566711881360684,2347.8452689647675,2571.0554254055023,28621.10546875
wikidatawiki-20250601-pages-meta-history16.xml-p28198395p28244864.bz2,531.5612277984619,44411,1449125,32.629866474522075,704.9244267940521,812.7919239997864,20637.66015625
wikidatawiki-20250601-pages-meta-history21.xml-p49160309p49211382.bz2,755.9493417739868,50862,744820,14.643938500255594,2048.393224477768,2509.004760980606,19052.27734375
wikidatawiki-20250601-pages-meta-history1.xml-p147385p152662.bz2,1112.4153032302856,5215,871000,167.01821668264623,1760.1293551921844,1765.4871580600739,20618.67578125
wikidatawiki-20250601-pages-meta-history19.xml-p36611313p36633931.bz2,754.2297859191895,22598,520212,23.02026728029029,1641.8198671340942,2072.09002494812,16456.21484375
wikidatawiki-20250601-pages-meta-history18.xml-p33507658p33646072.bz2,564.9418563842773,131968,1499410,11.361921071774976,1400.5480501651764,1496.2188620567322,33419.53515625
wikidatawiki-20250601-pages-meta-history11.xml-p16983537p17009173.bz2,417.5156021118164,24197,1500203,61.99954539818986,827.4047155380249,829.8144714832306,12142.5859375
wikidatawiki-20250601-pages-meta-history18.xml-p35740197p35758130.bz2,566.5845556259155,17881,412482,23.068172920977574,1230.9770703315735,1593.4045190811157,22252.390625
wikidatawiki-20250601-pages-meta-history27.xml-p125112144p125341275.bz2,661.5414428710938,196937,1413514,7.177493310043313,1337.4734671115875,1398.709174156189,17969.23046875
wikidatawiki-20250601-pages-meta-history26.xml-p82261905p82334126.bz2,415.26080417633057,72082,1499578,20.803779029438694,876.9770722389221,1024.9664869308472,14732.83984375
wikidatawiki-20250601-pages-meta-history6.xml-p4559273p4589615.bz2,485.7936363220215,28212,1498322,53.10938607684673,945.6501488685608,948.2374501228333,22154.125
wikidatawiki-20250601-pages-meta-history27.xml-p111067837p111078873.bz2,308.32480239868164,10566,1499441,141.91188718531137,1021.9246320724487,1022.8116028308868,28721.71484375
wikidatawiki-20250601-pages-meta-history27.xml-p110593147p110802949.bz2,442.17969608306885,144352,1193688,8.269286189315007,1011.30340051651,1041.9153010845184,19109.58203125
wikidatawiki-20250601-pages-meta-history18.xml-p33045188p33146566.bz2,290.8563632965088,101210,1499950,14.820175871949413,694.0877649784088,771.7906444072723,33522.73828125
wikidatawiki-20250601-pages-meta-history23.xml-p59921889p60027770.bz2,495.4629249572754,105078,1493900,14.21705780467843,1114.1920833587646,1214.7130365371704,20815.453125
wikidatawiki-20250601-pages-meta-history27.xml-p113733429p113988314.bz2,451.8404932022095,252187,1489818,5.907592381843632,1674.8078401088715,1746.5614573955536,17210.3125
wikidatawiki-20250601-pages-meta-history1.xml-p155p284.bz2,3700.7810344696045,97,156831,1616.8144329896907,2357.5299932956696,2727.993124961853,60497.01953125
wikidatawiki-20250601-pages-meta-history11.xml-p16236980p16277530.bz2,467.0185794830322,38746,1478087,38.14811851545966,640.0488724708557,649.4918141365051,28857.41015625
wikidatawiki-20250601-pages-meta-history18.xml-p35147492p35167829.bz2,743.5517053604126,20323,508326,25.012350538798405,1667.3446114063263,1910.9494488239288,24516.22265625
wikidatawiki-20250601-pages-meta-history14.xml-p23649572p23691692.bz2,1860.6359043121338,41164,1368969,33.25646195704985,2343.251294851303,2712.0293686389923,46632.77734375
wikidatawiki-20250601-pages-meta-history3.xml-p1507697p1527229.bz2,842.0855236053467,19148,1500434,78.35982870273658,1720.5954158306122,1724.8654263019562,21749.93359375
wikidatawiki-20250601-pages-meta-history15.xml-p26167783p26216928.bz2,640.9863109588623,47524,1485095,31.24936874000505,1386.0727937221527,1693.2516486644745,16214.29296875
wikidatawiki-20250601-pages-meta-history3.xml-p1313494p1329460.bz2,872.698166847229,15562,1367042,87.84487855031487,1733.8747022151947,1738.3151915073395,22207.86328125
wikidatawiki-20250601-pages-meta-history10.xml-p14133841p14269759.bz2,958.9788637161255,73859,1474876,19.968805426556006,838.0295653343201,877.3289847373962,17841.85546875
wikidatawiki-20250601-pages-meta-history14.xml-p24026462p24076279.bz2,1317.9321117401123,47694,1482130,31.075816664569967,2394.290414571762,2496.3270497322083,86848.15625
wikidatawiki-20250601-pages-meta-history16.xml-p29300624p29316327.bz2,833.1687898635864,15110,537591,35.57849106551952,1609.7971336841583,1896.0294749736786,16766.546875
wikidatawiki-20250601-pages-meta-history9.xml-p12857415p12906709.bz2,633.15793800354,44949,1497469,33.314845714031456,1234.2868988513947,1287.2497000694275,18098.33984375
wikidatawiki-20250601-pages-meta-history20.xml-p41437138p41451462.bz2,869.3151388168335,14304,438330,30.643875838926174,1666.9524800777435,1814.700065612793,24725.63671875
wikidatawiki-20250601-pages-meta-history19.xml-p39052844p39074005.bz2,744.1265459060669,21124,477851,22.621236508237075,1665.1589133739471,2067.4264805316925,18555.87890625
wikidatawiki-20250601-pages-meta-history27.xml-p95135307p95262471.bz2,996.9665155410767,122401,1471094,12.018643638532366,1654.694105386734,1756.9539046287537,28946.41015625
wikidatawiki-20250601-pages-meta-history6.xml-p5327766p5365439.bz2,463.8282308578491,32796,1498496,45.69142578363215,913.7455062866211,924.9544432163239,21940.05859375
wikidatawiki-20250601-pages-meta-history14.xml-p24450628p24504886.bz2,228.7971897125244,54063,1499497,27.736104174759078,416.8917248249054,505.85108256340027,15474.45703125
wikidatawiki-20250601-pages-meta-history15.xml-p26638304p26672587.bz2,621.844952583313,33197,1484633,44.721902581558574,1214.7837009429932,1292.028470993042,24592.734375
wikidatawiki-20250601-pages-meta-history23.xml-p59452966p59547080.bz2,756.8766393661499,92318,1482401,16.057551073463465,1149.8964459896088,1259.4912157058716,20242.96875
wikidatawiki-20250601-pages-meta-history9.xml-p11996927p12047067.bz2,352.30807304382324,44092,1495389,33.915200036287764,635.0610992908478,663.7893464565277,22388.703125
wikidatawiki-20250601-pages-meta-history8.xml-p8098851p8133109.bz2,388.7417736053467,31750,1496838,47.144503937007876,824.3229467868805,824.9064621925354,17811.9921875
wikidatawiki-20250601-pages-meta-history27.xml-p111122044p111221498.bz2,594.5968742370605,91972,1463467,15.912092810855478,1024.6726169586182,1043.202651500702,26890.75390625
wikidatawiki-20250601-pages-meta-history23.xml-p56678030p56678139.bz2,4166.224423408508,109,24907,228.5045871559633,1924.964896440506,2238.6384630203247,65127.07421875
wikidatawiki-20250601-pages-meta-history23.xml-p58631278p58702551.bz2,1334.8193521499634,71020,929939,13.094043931286961,1915.868613243103,2353.3830511569977,28648.265625
